Open,Close,High,Low,Volume,Date
1973.15,1981.42,1997.2,1972.15,,10/20/23
1948.07,1974.31,1977.65,1945.18,,10/19/23
1923.46,1948.29,1962.35,1923.36,,10/18/23
1919.8,1923.7,1931.35,1912.5,,10/17/23
1932.97,1920.14,1934.7,1908.2,,10/16/23
1932.97,1932.97,1932.97,1932.97,,10/15/23
1932.97,1932.97,1932.97,1932.97,,10/14/23
1869.6,1932.97,1932.97,1869.3,,10/13/23
1874.42,1869.02,1884.51,1867.42,,10/12/23
1860.2,1874.1,1877.02,1858.75,,10/11/23
1861.07,1860.48,1865.35,1853.1,,10/10/23
1833.38,1861.27,1863.45,1833.38,,10/09/23
1831.66,1831.66,1831.66,1831.66,,10/08/23
1831.66,1831.66,1831.66,1831.66,,10/07/23
1820.83,1831.66,1834.83,1810.75,,10/06/23
1821.92,1820.38,1829.16,1813.83,,10/05/23
1823.81,1821.43,1829.9,1816.7,,10/04/23
1828.61,1823.18,1832.75,1815.35,,10/03/23
1848.76,1827.92,1848.95,1827.4,,10/02/23
1848.76,1848.76,1848.76,1848.76,,10/01/23
1848.76,1848.76,1848.76,1848.76,,09/30/23
1865.27,1848.76,1879.45,1846.41,,09/29/23
1876.41,1864.91,1879.4,1857.95,,09/28/23
1900.97,1875.07,1903.8,1872.55,,09/27/23
1916.22,1900.82,1916.81,1899.32,,09/26/23
1925.91,1916.03,1927.05,1915.29,,09/25/23
1925.52,1925.52,1925.52,1925.52,,09/24/23
1925.52,1925.52,1925.52,1925.52,,09/23/23
1919.97,1925.52,1928.95,1919.95,,09/22/23
1930.18,1920.07,1931.57,1914.05,,09/21/23
1932.33,1930.47,1947.45,1927.89,,09/20/23
1933.66,1931.57,1937.25,1929.72,,09/19/23
1924.4,1933.64,1934.3,1922.71,,09/18/23
1923.6,1923.72,1923.72,1923.6,,09/17/23
1923.6,1923.6,1923.6,1923.6,,09/16/23
1910.76,1923.6,1930.4,1909.74,,09/15/23
1909.22,1910.68,1912.95,1900.97,,09/14/23
1913.46,1906.68,1915.65,1905.88,,09/13/23
1922.82,1913.55,1924.4,1907.85,,09/12/23
1919.6,1922.36,1930.37,1917.7,,09/11/23
1919.16,1919.16,1919.16,1919.16,,09/10/23
1919.16,1919.16,1919.16,1919.16,,09/09/23
1919.58,1919.16,1929.54,1917.38,,09/08/23
1917.39,1919.57,1923.55,1916.35,,09/07/23
1926.32,1916.61,1929.1,1915.35,,09/06/23
1938.81,1926.16,1939,1925.46,,09/05/23
1944.1,1944.1,1946.3,1939.58,,09/04/23
1939.85,1938.51,1946.3,1936.8,,09/02/23
1940.11,1939.85,1952.47,1934.9,,09/01/23
1943.79,1940.11,1947.76,1939.21,,08/31/23
1937.26,1942.61,1948.67,1935.11,,08/30/23
1920.27,1937.48,1938.16,1914.65,,08/29/23
1914.23,1920.23,1925.94,1913.2,,08/28/23
0,1914.23,0,0,,08/27/23
1914.23,1914.23,1914.23,1914.23,,08/26/23
1916.96,1914.23,1922.2,1904.05,,08/25/23
1917.18,1917.81,1923.25,1911.9,,08/24/23
1897.81,1915.51,1920.35,1897.71,,08/23/23
1894.75,1897.85,1904.36,1889.6,,08/22/23
1890.01,1894.88,1898.65,1884.98,,08/21/23
1889.4,1889.4,1889.4,1889.4,,08/20/23
1889.4,1889.4,1889.4,1889.4,,08/19/23
1889.66,1889.4,1896.8,1886.94,,08/18/23
1894.66,1889.38,1903.3,1885.15,,08/17/23
1902.39,1892.15,1907.2,1891.7,,08/16/23
1907.37,1901.95,1911.56,1896.47,,08/15/23
1913.67,1908.29,1916.05,1902.85,,08/14/23
0,1913.67,0,0,,08/13/23
1913.67,1913.67,1913.67,1913.67,,08/12/23
1912.8,1913.67,1920.94,1911.1,,08/11/23
1915.67,1912.39,1929.54,1912.25,,08/10/23
1925.11,1914.94,1932.38,1914.15,,08/09/23
1936.35,1925.1,1938.05,1923,,08/08/23
1942.55,1936.76,1946.71,1931.75,,08/07/23
1942.87,1942.87,1942.87,1942.87,,08/06/23
1942.87,1942.87,1942.87,1942.87,,08/05/23
1934.71,1942.87,1946.25,1930.45,,08/04/23
1935.17,1934.12,1938.96,1929.7,,08/03/23
1949.18,1934.5,1954.65,1933.2,,08/02/23
1965.62,1944.4,1966.05,1941.39,,08/01/23
1959.67,1965.1,1972.31,1951.69,,07/31/23
1959.67,1959.67,1959.67,1959.67,,07/30/23
1959.67,1959.67,1959.67,1959.67,,07/29/23
1946.67,1959.67,1963.51,1945.58,,07/28/23
1971.19,1944.37,1982.1,1942.65,,07/27/23
1964.92,1972.44,1977.75,1962.15,,07/26/23
1955.32,1964.94,1965.56,1953.33,,07/25/23
1962.15,1954.88,1967.75,1953.52,,07/24/23
1961.33,1961.33,1961.33,1961.33,,07/22/23
1970.55,1961.33,1973.75,1956.9,,07/21/23
1978.19,1969.99,1987.5,1965.54,,07/20/23
1979,1977.61,1980.85,1969.81,,07/19/23
1954.7,1978.97,1984.25,1954.7,,07/18/23
1954.56,1955.11,1959.75,1945.95,,07/17/23
1955.32,1955.32,1955.32,1955.32,,07/16/23
1955.32,1955.32,1955.32,1955.32,,07/15/23
1960.49,1955.32,1963.8,1951.17,,07/14/23
1957.89,1961.59,1963.35,1953,,07/13/23
1932.32,1957.44,1959.55,1932.32,,07/12/23
1925.35,1932.37,1938.27,1924.45,,07/11/23
1925.53,1925.37,1928.19,1912.8,,07/10/23
1925.57,1925.57,1925.57,1925.57,,07/09/23
1925.57,1925.57,1925.57,1925.57,,07/08/23
1911.17,1925.57,1934.75,1909.65,,07/07/23
1916.31,1911.08,1927.49,1902.75,,07/06/23
1925.4,1917.7,1934.95,1914.87,,07/05/23
1921.35,1925.4,1930.7,1920.05,,07/04/23
1918.58,1921.78,1930.9,1910.21,,07/03/23
1919.38,1919.38,1919.38,1919.38,,07/02/23
1919.38,1919.38,1919.38,1919.38,,07/01/23
1909,1919.38,1922.7,1900.62,,06/30/23
1908.5,1908.53,1913,1893.3,,06/29/23
1914.42,1907.78,1917.05,1902.8,,06/28/23
1924.02,1913.73,1930.61,1911.4,,06/27/23
1923.38,1923.21,1933.36,1921.75,,06/26/23
1921.7,1921.62,1921.7,1921.62,,06/25/23
1921.7,1921.7,1921.7,1921.7,,06/24/23
1914.33,1921.7,1936.17,1910.27,,06/23/23
1933.31,1913.85,1934.95,1912.55,,06/22/23
1936.5,1932.6,1939.3,1920.35,,06/21/23
1951.6,1936.29,1956.75,1929.91,,06/20/23
1958.55,1950.42,1958.64,1948,,06/19/23
1957.85,1957.85,1957.85,1957.85,,06/18/23
1957.85,1957.85,1957.85,1957.85,,06/17/23
1957.76,1957.85,1967.8,1953.55,,06/16/23
1943.65,1958.03,1960.29,1926.05,,06/15/23
1944.1,1943.45,1960.2,1939.9,,06/14/23
1957.02,1943.67,1968.57,1940.14,,06/13/23
1959.76,1957.65,1966.9,1949.3,,06/12/23
0,1960.99,0,0,,06/11/23
1960.99,1960.99,1960.99,1960.99,,06/10/23
1966.25,1960.99,1971.55,1957.08,,06/09/23
1941.09,1968.1,1970.3,1941.09,,06/08/23
1963.29,1939.99,1969.88,1939.95,,06/07/23
1961.43,1963.41,1966.33,1954.67,,06/06/23
1947.7,1962.11,1964,1938.19,,06/05/23
1948.02,1948.02,1948.02,1948.02,,06/04/23
1948.02,1948.02,1948.02,1948.02,,06/03/23
1977.04,1948.02,1983.4,1947.84,,06/02/23
1963.37,1978.15,1982.97,1953.6,,06/01/23
1958.83,1962.67,1974.25,1953.85,,05/31/23
1943.35,1959.52,1963.56,1932.28,,05/30/23
1943.84,1943.1,1949.73,1940.55,,05/29/23
1946.71,1946.61,1946.71,1946.61,,05/28/23
1946.71,1946.71,1946.71,1946.71,,05/27/23
1941.77,1946.71,1957.29,1937.74,,05/26/23
1958.5,1940.69,1964.74,1938.99,,05/25/23
1976.37,1957.36,1985.15,1956.9,,05/24/23
1971.86,1975.22,1977.61,1954.26,,05/23/23
1978.94,1969.79,1982.5,1969.33,,05/22/23
1977.8,1977.8,1977.8,1977.8,,05/21/23
1977.8,1977.8,1977.8,1977.8,,05/20/23
1958.39,1977.8,1983.25,1954.17,,05/19/23
1982.49,1958.43,1985.87,1952.08,,05/18/23
1988.31,1982.09,1993,1975.35,,05/17/23
2016.57,1988.94,2018.5,1985.62,,05/16/23
2010.25,2020.95,2021.81,2008.71,,05/15/23
0,2011.41,0,0,,05/14/23
2011.41,2011.41,2011.41,2011.41,,05/13/23
2015.2,2011.41,2022.28,2001.6,,05/12/23
2030.04,2015.88,2039.11,2011.54,,05/11/23
2034.31,2029.77,2047.89,2021.77,,05/10/23
2020.93,2034.43,2037.44,2019.6,,05/09/23
2016.6,2021.64,2029.36,2014.61,,05/08/23
2016.57,2016.57,2016.57,2016.57,,05/07/23
2016.57,2016.57,2016.57,2016.57,,05/06/23
2049.13,2016.57,2052.95,1999.8,,05/05/23
2045.55,2051.72,2062.83,2030.85,,05/04/23
2016.2,2039.37,2040.3,2010.29,,05/03/23
1981.93,2016.69,2018.97,1978.64,,05/02/23
1989.93,1982.42,2005.73,1977.26,,05/01/23
0,1989.7,0,0,,04/30/23
1989.7,1989.7,1989.7,1989.7,,04/29/23
1987.58,1989.7,1994.86,1978.18,,04/28/23
1990.09,1988.24,2003.17,1974.84,,04/27/23
1997.43,1989.85,2008.56,1983.58,,04/26/23
1992.26,1998.24,2003.72,1976.2,,04/25/23
1982.44,1989.25,1990.85,1974.95,,04/24/23
1982.44,1982.44,1982.44,1982.44,,04/23/23
1982.44,1982.44,1982.44,1982.44,,04/22/23
